sampleName,fileName,taxon,sex,tissue,mtdna,maturity,batch,tech_rep,INV2
W1025G,W1025G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1025L,W1025L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1029G,W1029G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1029L,W1029L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1040G,W1040G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1040L,W1040L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1045G,W1045G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1045L,W1045L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1046G,W1046G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1046L,W1046L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1056G,W1056G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1056L,W1056L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1058G,W1058G_counts.txt,acu,Female,gonad,acu,no_note,P1,main,neg
W1058L,W1058L_counts.txt,acu,Female,liver,acu,liver_na,P1,main,neg
W1063G,W1063G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,neg
W1063L,W1063L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,neg
W1065B,W1065B_counts.txt,hec,Male,Brain,hec,brain_na,P1,main,neg
W1065G,W1065G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1065L,W1065L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1066G,W1066G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1066L,W1066L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1068G,W1068G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1068L,W1068L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1073G,W1073G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1073L,W1073L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1076G,W1076G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,neg
W1076L,W1076L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,neg
W1082G,W1082G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,pos
W1082L,W1082L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,pos
W1105G,W1105G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1105L,W1105L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1107G,W1107G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1107L,W1107L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1108G,W1108G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1108L,W1108L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1110G,W1110G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1110L,W1110L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1113G,W1113G_counts.txt,acu,Female,gonad,acu,no_note,P1,main,neg
W1113L,W1113L_counts.txt,acu,Female,liver,acu,liver_na,P1,main,neg
W1122G,W1122G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,neg
W1122L,W1122L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,neg
W1129G,W1129G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,neg
W1129L,W1129L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,neg
W1134G,W1134G_counts.txt,acu,Male,gonad,acu,no_note,P1,main,neg
W1134L,W1134L_counts.txt,acu,Male,liver,acu,liver_na,P1,main,neg
W1135G,W1135G_counts.txt,acu,Female,gonad,acu,no_note,P1,main,neg
W1135L,W1135L_counts.txt,acu,Female,liver,acu,liver_na,P1,main,neg
W1137G,W1137G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1137L,W1137L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1138G,W1138G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1138L,W1138L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1139G,W1139G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1139L,W1139L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1142G,W1142G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1142L,W1142L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1148B,W1148B_counts.txt,hec,Female,Brain,hec,brain_na,P1,main,neg
W1148G,W1148G_counts.txt,hec,Female,gonad,hec,no_note,P1,main,neg
W1148L,W1148L_counts.txt,hec,Female,liver,hec,liver_na,P1,main,neg
W1157G,W1157G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1157L,W1157L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1169G,W1169G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1169L,W1169L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1170G,W1170G_counts.txt,cin,Male,gonad,cin,no_note,P1,main,neg
W1170L,W1170L_counts.txt,cin,Male,liver,cin,liver_na,P1,main,neg
W1177G,W1177G_counts.txt,acu,Female,gonad,acu,no_note,P1,main,neg
W1177L,W1177L_counts.txt,acu,Female,liver,acu,liver_na,P1,main,neg
W1185G,W1185G_counts.txt,cin,Female,gonad,cin,no_note,P1,main,neg
W1185L,W1185L_counts.txt,cin,Female,liver,cin,liver_na,P1,main,neg
W1188G,W1188G_counts.txt,acu,Female,gonad,acu,no_note,P1,main,neg
W1188L,W1188L_counts.txt,acu,Female,liver,acu,liver_na,P1,main,neg
W1228G,W1228G_counts.txt,hec,Male,gonad,hec,no_note,P1,main,neg
W1228L,W1228L_counts.txt,hec,Male,liver,hec,liver_na,P1,main,neg
W1346G,W1346G_counts.txt,acu-hec,Female,gonad,acu,pre-hierarchical,P2,main,neg
W1346L,W1346L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1355G,W1355G_counts.txt,acu-hec,Female,gonad,hec,moderate,P2,main,neg
W1355L,W1355L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1360G,W1360G_counts.txt,acu-hec,Female,gonad,acu,mature,P2,main,neg
W1360L,W1360L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1361G,W1361G_counts.txt,acu-hec,Male,gonad,hec,mature,P2,main,neg
W1361L,W1361L_counts.txt,acu-hec,Male,liver,hec,liver_na,P2,main,neg
W1377G,W1377G_counts.txt,acu-hec,Male,gonad,acu,mature,P2,main,neg
W1377L,W1377L_counts.txt,acu-hec,Male,liver,acu,liver_na,P2,main,neg
W1379G,W1379G_counts.txt,acu-hec,Male,gonad,acu,mature,P2,main,neg
W1379L,W1379L_counts.txt,acu-hec,Male,liver,acu,liver_na,P2,main,neg
W1383G,W1383G_counts.txt,acu-hec,Female,gonad,acu,hierarchical,P2,main,neg
W1383L,W1383L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1393G,W1393G_counts.txt,acu-hec,Female,gonad,hec,low,P2,main,neg
W1393L,W1393L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1395G,W1395G_counts.txt,acu-hec,Male,gonad,hec,moderate,P2,main,neg
W1395L,W1395L_counts.txt,acu-hec,Male,liver,hec,liver_na,P2,main,neg
W1400G,W1400G_counts.txt,acu-hec,Female,gonad,acu,pre-hierarchical,P2,main,neg
W1400L,W1400L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1402G,W1402G_counts.txt,acu-hec,Male,gonad,acu,moderate,P2,main,pos
W1402L,W1402L_counts.txt,acu-hec,Male,liver,acu,liver_na,P2,main,pos
W1405G,W1405G_counts.txt,acu-hec,Female,gonad,acu,no_note,P2,main,neg
W1405L,W1405L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1413L,W1413L_counts.txt,acu-hec,Male,liver,hec,liver_na,P2,main,neg
W1417G,W1417G_counts.txt,acu-hec,Female,gonad,acu,no_note,P2,main,neg
W1417L,W1417L_counts.txt,acu-hec,Female,liver,acu,liver_na,P2,main,neg
W1420G,W1420G_counts.txt,acu-hec,Female,gonad,hec,low,P2,main,neg
W1420L,W1420L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1434G,W1434G_counts.txt,acu-hec,Female,gonad,hec,low,P2,main,neg
W1434L,W1434L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1451G,W1451G_counts.txt,acu-hec,Female,gonad,hec,immature,P2,main,neg
W1451L,W1451L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1458G,W1458G_counts.txt,acu-hec,Female,gonad,hec,low,P2,main,neg
W1458L,W1458L_counts.txt,acu-hec,Female,liver,hec,liver_na,P2,main,neg
W1489G,W1489G_counts.txt,acu,Female,gonad,acu,no_note,P2,main,neg
W1489L,W1489L_counts.txt,acu,Female,liver,acu,liver_na,P2,main,neg
